name,sex
Alliser Thorne,male
Baby Sam,male
Balon Greyjoy,male
Barristan Selmy,male
Benjen Stark,male
Beric Dondarrion,male
Black Walder Rivers,male
Bran Stark,male
Bronn,male
Brynden Tully,male
Craster,male
Daario Naharis,male
Davos Seaworth,male
Doran Martell,male
Drogon,male
Eddard Stark,male
Eddison Tollett,male
Edmure Tully,male
Euron Greyjoy,male
Gendry,male
Ghost,male
Grand Maester Pycelle,male
Greatjon Umber,male
Gregor Clegane,male
Greizhen mo Ullhor,male
Grenn,male
Grey Wind,male
Grey Worm,male
Hallyne,male
Harry Strickland,male
High Sparrow,male
Hizdahr zo Loraq,male
Hodor,male
Hot Pie,male
Jaime Lannister,male
Janos Slynt,male
Jaqen H'ghar,male
Jeor Mormont,male
Joffrey Baratheon,male
Jojen Reed,male
Jon Snow,male
Jorah Mormont,male
Jory Cassel,male
Karl Tanner,male
Kevan Lannister,male
Khal Drogo,male
Kraznys mo Nakloz,male
Lancel Lannister,male
Locke,male
Lommy Greenhands,male
Loras Tyrell,male
Lord Varys,male
Lothar Frey,male
Mace Tyrell,male
Maester Aemon,male
Maester Luwin,male
Mag the Mighty,male
Mance Rayder,male
Matthos Seaworth,male
Ned Umber,male
Oberyn Martell,male
Olly,male
Olyvar,male
Othell Yarwyck,male
Petyr Baelish,male
Podrick Payne,male
Prendahl na Ghezn,male
Pyat Pree,male
Pypar,male
Qhorin Halfhand,male
Qyburn,male
Rakharo,male
Ramsay Snow,male
Rast,male
Rattleshirt,male
Razdal mo Eraz,male
Renly Baratheon,male
Rhaegal,male
Rhaegar Targaryen,male
Rickard Karstark,male
Rickon Stark,male
Robb Stark,male
Robert Baratheon,male
Robin Arryn,male
Rodrik Cassel,male
Roose Bolton,male
Salladhor Saan,male
Samwell Tarly,male
Sandor Clegane,male
Shaggydog,male
Silk King,male
Smalljon Umber,male
Stannis Baratheon,male
Summer,male
Syrio Forel,male
Thenn Warg,male
Theon Greyjoy,male
Thoros of Myr,male
Three-Eyed Raven,male
Tommen Baratheon,male
Tormund Giantsbane,male
Trystane Martell,male
Tyrion Lannister,male
Tywin Lannister,male
Viserion,male
Viserys Targaryen,male
Walder Frey,male
Wun Wun,male
Xaro Xhoan Daxos,male
Yezzan zo Qaggaz,male
Yohn Royce,male
Yoren,male
Arya Stark,female
Brienne of Tarth,female
Catelyn Stark,female
Cersei Lannister,female
Daenerys Targaryen,female
Doreah,female
Ellaria Sand,female
Gilly,female
Irri,female
Lady,female
Lady Crane,female
Leaf,female
Lyanna Mormont,female
Lysa Arryn,female
Margaery Tyrell,female
Meera Reed,female
Melisandre,female
Mirri Maz Duur,female
Missandei,female
Myrcella Baratheon,female
Nymeria,female
Nymeria Sand,female
Obara Sand,female
Olenna Tyrell,female
Osha,female
Ros,female
Sansa Stark,female
Selyse Baratheon,female
Septa Mordane,female
Septa Unella,female
Shae,female
Shireen Baratheon,female
Talisa Maegyr,female
The Waif,female
Tyene Sand,female
Yara Greyjoy,female
Ygritte,female
Qhono,male
Meryn Trant,male
Qotho,male
Myranda,female
Randyll Tarly,male
Anguy,male
Bowen Marsh,male
Robett Glover,male
Dickon Tarly,male
Ilyn Payne,male
Kovarro,male
Dagmer Cleftjaw,male
Orell,male
Alys Karstark,female
Maester Wolkan,male
High Septon,male
Karsi,female
Vardis Egen,male
Will,male
Styr,male
Archmaester Ebrose,male
Areo Hotah,male
Polliver,male
Spice King,male
Harald Karstark,male
Joyeuse Erenford,female
Royal Steward,male
Walda Bolton,female
Young Ned Stark,male
Illyrio Mopatis,male
Loboda,male
Dontos Hollard,male
Tycho Nestoris,male
Armeca,female
Aeron Greyjoy,male
Alton Lannister,male
Sissy,female
Bobono,male
Izembaro,female
Bianca,female
Clarenzo,female
Marillion,male
Dim Dalba,male
Akho,male
Camello,male
Brother Ray,male
Black Lorren,male
Anya Waynwood,female
The Night King,male
