"episodes_episode_description","episodes_scenes_characters_married_to","episodes_scenes_characters_sex_type","episodes_episode_air_date","episodes_scenes_characters_title","episodes_scenes_characters_married_type","episodes_scenes_characters_name","episodes_season_num","episodes_scenes_characters_weapon_action","episodes_episode_num","episodes_scenes_alt_location","episodes_opening_sequence_locations","episodes_scenes_scene_start","episodes_scenes_characters_sex_with","episodes_scenes_sub_location","episodes_scenes_characters_married_when","episodes_scenes_characters_manner_of_death","episodes_scenes_characters_killed_by","episodes_episode_title","episodes_scenes_characters_weapon_name","episodes_scenes_characters_sex_when","episodes_scenes_location","episodes_episode_link","episodes_scenes_scene_end"
"Jon Arryn\, the Hand of the King\, is dead. King Robert Baratheon plans to ask his oldest friend\, Eddard Stark\, to take Jon's place. Across the sea\, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.","Daenerys Targaryen","paid","2011-04-17","Hand","arranged","Gared",1,"has",1,NULL,"King's Landing","0:00:40","Ros","Castle Black","present","Back stab","White Walker","Winter Is Coming","Ice","present","The Wall","/title/tt1480055/","0:01:45"
NULL,"Khal Drogo","paid",NULL,"King","arranged","Waymar Royce",NULL,"has",NULL,NULL,"Winterfell","0:01:45","Tyrion Lannister","The Haunted Forest","present","Decapitation","White Walker",NULL,"Ice","present","North of the Wall",NULL,"0:03:24"
NULL,NULL,"rape",NULL,"King",NULL,"Will",NULL,"has",NULL,NULL,"The Wall","0:03:24","Daenerys Targaryen","The Haunted Forest",NULL,"Decapitation","Eddard Stark",NULL,"Ice","present","North of the Wall",NULL,"0:03:31"
NULL,NULL,"rape",NULL,"King",NULL,"Gared",NULL,"has",NULL,NULL,"Pentos","0:03:31","Khal Drogo","The Haunted Forest",NULL,"Poison","Lysa Arryn",NULL,"Lion's Tooth","present","North of the Wall",NULL,"0:03:38"
NULL,NULL,"love",NULL,"Khal",NULL,"Waymar Royce",NULL,NULL,NULL,NULL,NULL,"0:03:38","Cersei Lannister","The Haunted Forest",NULL,NULL,NULL,NULL,NULL,"present","North of the Wall",NULL,"0:03:44"
NULL,NULL,"love",NULL,"King",NULL,"Will",NULL,NULL,NULL,NULL,NULL,"0:03:44","Jaime Lannister","The Haunted Forest",NULL,NULL,NULL,NULL,NULL,"present","North of the Wall",NULL,"0:05:36"
NULL,NULL,NULL,NULL,"King",NULL,"Will",NULL,NULL,NULL,NULL,NULL,"0:05:36",NULL,"The Haunted Forest",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:05:41"
NULL,NULL,NULL,NULL,"Khal",NULL,"Wight Wildling Girl",NULL,NULL,NULL,NULL,NULL,"0:05:41",NULL,"The Haunted Forest",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:05:48"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Will",NULL,NULL,NULL,NULL,NULL,"0:05:48",NULL,"The Haunted Forest",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:05:58"
NULL,NULL,NULL,NULL,"Khal",NULL,"Gared",NULL,NULL,NULL,NULL,NULL,"0:05:58",NULL,"The Haunted Forest",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:06:21"
